step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,screenshot-20260527-at-110742-pm,0.5,0.5,1,,"Santa Barbara Rescue Mission Then ","During the 1990s, the Santa Barbara Rescue Mission expanded beyond its role as an emergency shelter to offer more structured recovery and transitional services. The opening of Bethel House in 1990 provided 30-day transitional shelter and long-term recovery programming for women and children, while the Learning Center, opened in 1992, introduced tutoring, literacy education, and GED preparation. In 1997 the Mission opened an expanded 32-bed Women's Recovery Program along with a larger learning and counseling center. In 1998, it became the first licensed Rescue Mission residential drug and alcohol treatment facility in California and added a Career Development Office to support employment and long-term stability.",,What does it look like now?,homeless-resources-then-9xy3-santa-barbara-rescue.md,,,,,
2,transition-house-then,0.5,0.5,1,,Transition House Then,"During the 1990s, Transition House evolved from a basic emergency shelter into a more comprehensive program focused on helping families become self efficient log term. After purchasing its current shelter on East Ortega Street in 1992, the organization doubled its capacity to 70 beds and began developing anti-poverty programs that emphasized employment, savings, and housing stability. It also introduced children's services, including licensed infant care and an after-school program, and soon expanded into second-stage transitional housing through the Firehouse program. By the late 1990s, Transition House had acquired Casa Marianna, a 13-unit affordable housing complex, and purchased its office building with additional affordable housing units, reflecting a growing emphasis on longer-term housing solutions rather than emergency shelter alone.",,What does it look like today?,homeless-resources-then-9xy3-transition-house-now.md,,,,,
3,mwc-then,0.5,0.5,1,,Mental Wellness Center Then,"During the 1990s, the Mental Wellness Center (then operating as the Mental Health Association in Santa Barbara County) focused primarily on community support, psychosocial rehabilitation, and reducing the isolation experienced by people living with mental illness. Building on decades of work that began in 1947, its core services centered around the Fellowship Club, family support groups, community education, and advocacy, providing safe spaces where individuals with serious mental health challenges could find social connection and support. While residential services and community programs existed, the organization's emphasis was on recovery-oriented support and combating the stigma surrounding mental illness rather than providing the broad continuum of housing and wellness programs it offers today.",,What does it look like now?,homeless-resources-then-9xy3-learn-more.md,,,,,
4,path-volunteers,0.5,0.5,1,,Shift to Housing Authority in the 1990s,"In the 1990s, homelessness services in Santa Barbara began to shift from a collection of largely independent charities and shelters into a more coordinated countywide system. Local nonprofits, faith-based organizations, housing providers, and public agencies increasingly collaborated through county planning efforts and federal HUD programs, emphasizing emergency shelter, transitional housing, and referrals between organizations. Coordination existed, but it was relatively limited and focused primarily on providing immediate assistance and connecting people with available resources. ",,Learn more,homeless-resources-then-9xy3-step4-layer1.md,,,,,
5,screenshot-20260528-at-121303-pm,0.5,0.5,1,,Coordinated Entry System,"The Coordinated Entry System (CES) is the county’s centralized system for organizing access to housing and support services for people experiencing homelessness. Individuals enter the system through community access points such as shelters, outreach teams, hospitals, and local service providers. Once connected, they complete an assessment used to evaluate factors such as vulnerability, housing barriers, and overall level of need. Based on the results, individuals are prioritized within a countywide waitlist and matched with available housing programs, supportive services, or other intervention resources as they become available.",,,,,,,,
6,screenshot-20260528-at-115246-am,0.5,0.5,1,,VI-SPIDAT,"The Vulnerability Index–Service Prioritization Decision Assistance Tool (VI-SPDAT) was developed through the work of Rosanne Haggerty and the nonprofit organization Common Ground, founded in the 1990s. Outreach workers were sent into the streets to interview people experiencing homelessness and create detailed profiles about their health conditions, housing history, and overall vulnerability. Using this information, individuals were assigned a vulnerability score intended to measure how at risk they were of severe health decline or death while living unhoused. The higher the score, the greater the priority for housing and support interventions within homelessness service systems. Today, much of this information is stored and organized through the Homeless Management Information System (HMIS), a shared database used by service providers to coordinate care, track services, and manage housing referrals across agencies.",,,,,,,,
7,screenshot-20260528-at-124348-pm,0.5,0.5,1,,Housing Options,"Housing placements are often determined through information collected within HMIS and coordinated entry systems, where individuals are assessed based on their level of need and vulnerability. From there, case managers work to help people become “document ready” by gathering important records such as birth certificates, identification cards, Social Security documents, proof of income, or evidence of disability. Once documentation and assessments are completed, individuals may be matched with different housing programs depending on their circumstances, including Transitional Living Programs (TLP), Rapid Rehousing (RRH), or Permanent Supportive Housing (PSH).",,,,,,,,
